user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
DanCrenshawTX,Dan Crenshaw,1126616894662950912,2019-05-09 22:36:13,/DanCrenshawTX/status/1126616894662950912,45929,2123,14580,"We reached a new low in deceitful politics today. 

The lies about protection for pre-existing conditions continue. 

This was one of the most shameful and dishonest bills passed in the House so far.

#HR986","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We reached a new low in deceitful politics today. 

The lies about protection for pre-existing conditions continue. 

This was one of the most shameful and dishonest bills passed in the House so far.

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HR986?src=hash""><s>#</s><b>HR986</b></a></p>"
VP,Vice President Mike Pence,1126554209091035138,2019-05-09 18:27:08,/VP/status/1126554209091035138,25341,1532,5550,"Great to be at R&J Johnson Farms in  Glyndon, Minnesota today! Since the earliest days of our administration, @POTUS has promised to keep fighting for our farmers - & that’s exactly what we’ve done!pic.twitter.com/mzSYAqGXPk","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great to be at R&amp;J Johnson Farms in  Glyndon, Minnesota today! Since the earliest days of our administration, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""822215679726100480"" dir=""ltr"" href=""/POTUS""><s>@</s><b>POTUS</b></a> has promised to keep fighting for our farmers - &amp; that’s exactly what we’ve done!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/mzSYAqGXPk"">pic.twitter.com/mzSYAqGXPk</a></p>"
realDonaldTrump,Donald J. Trump,1126625647214964737,2019-05-09 23:11:00,/realDonaldTrump/status/1126625647214964737,77206,9318,19099,"House Republicans should not vote for the BAD DEMOCRAT Disaster Supplemental Bill which hurts our States, Farmers & Border Security. Up for vote tomorrow. We want to do much better than this. All sides keep working and send a good BILL for immediate signing!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">House Republicans should not vote for the BAD DEMOCRAT Disaster Supplemental Bill which hurts our States, Farmers &amp; Border Security. Up for vote tomorrow. We want to do much better than this. All sides keep working and send a good BILL for immediate signing!</p>"
realDonaldTrump,Donald J. Trump,1126620440703709185,2019-05-09 22:50:19,/realDonaldTrump/status/1126620440703709185,56235,5027,11435,"Today, it was my honor to welcome the 2018 World Series Champion Boston @RedSox to the @WhiteHouse!pic.twitter.com/yHAClpttLM","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Today, it was my honor to welcome the 2018 World Series Champion Boston <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""40918816"" dir=""ltr"" href=""/RedSox""><s>@</s><b>RedSox</b></a> to the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""822215673812119553"" dir=""ltr"" href=""/WhiteHouse""><s>@</s><b>WhiteHouse</b></a>!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/yHAClpttLM"">pic.twitter.com/yHAClpttLM</a></p>"
realDonaldTrump,Donald J. Trump,1126616468873936896,2019-05-09 22:34:32,/realDonaldTrump/status/1126616468873936896,77102,5543,22279,Great news today: My Administration just secured a historic donation of HIV prevention drugs from Gilead to help expand access to PrEP for the uninsured and those at risk. Will help us achieve our goal of ending the HIV epidemic in America!https://twitter.com/SecAzar/status/1126593428769378304 …,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Great news today: My Administration just secured a historic donation of HIV prevention drugs from Gilead to help expand access to PrEP for the uninsured and those at risk. Will help us achieve our goal of ending the HIV epidemic in America!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/SecAzar/status/1126593428769378304"" dir=""ltr"" href=""https://t.co/wux5QasWgW"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/SecAzar/status/1126593428769378304""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/SecAzar/status</span><span class=""invisible"">/1126593428769378304</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
realDonaldTrump,Donald J. Trump,1126325461217202176,2019-05-09 03:18:10,/realDonaldTrump/status/1126325461217202176,73389,13898,20377,"After a great rally in Panama City Beach, Florida - I am returning to Washington, D.C. with @SenRickScott and Senator @MarcoRubio, discussing the terrible abuses by Maduro. America stands with the GREAT PEOPLE of Venezuela for however long it takes!pic.twitter.com/KcBoNfEibv","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">After a great rally in Panama City Beach, Florida - I am returning to Washington, D.C. with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""131546062"" dir=""ltr"" href=""/SenRickScott""><s>@</s><b>SenRickScott</b></a> and Senator <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15745368"" dir=""ltr"" href=""/marcorubio""><s>@</s><b>MarcoRubio</b></a>, discussing the terrible abuses by Maduro. America stands with the GREAT PEOPLE of Venezuela for however long it takes!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/KcBoNfEibv"">pic.twitter.com/KcBoNfEibv</a></p>"
realDonaldTrump,Donald J. Trump,1126322322636324864,2019-05-09 03:05:42,/realDonaldTrump/status/1126322322636324864,101635,12398,22356,MAKE AMERICA GREAT AGAIN!pic.twitter.com/gOXXHnHHG5,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">MAKE AMERICA GREAT AGAIN!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/gOXXHnHHG5"">pic.twitter.com/gOXXHnHHG5</a></p>"
realDonaldTrump,Donald J. Trump,1126303605068390401,2019-05-09 01:51:19,/realDonaldTrump/status/1126303605068390401,73459,7740,18050,"Beautiful evening in Panama City Beach, Florida. Thank you! #MAGAhttps://www.pscp.tv/w/b6N-rjFvTlFsTFJub1dwUXd8MUJSSmp2TU1lRWFKd6Iqca6eGHAS3ugxqlw9QeUwhVgwAbcS_yy6K7MRSFrt?t=10s …","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Beautiful evening in Panama City Beach, Florida. Thank you! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MAGA?src=hash""><s>#</s><b>MAGA</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.pscp.tv/w/b6N-rjFvTlFsTFJub1dwUXd8MUJSSmp2TU1lRWFKd6Iqca6eGHAS3ugxqlw9QeUwhVgwAbcS_yy6K7MRSFrt?t=10s"" dir=""ltr"" href=""https://t.co/lNBM9sED2f"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.pscp.tv/w/b6N-rjFvTlFsTFJub1dwUXd8MUJSSmp2TU1lRWFKd6Iqca6eGHAS3ugxqlw9QeUwhVgwAbcS_yy6K7MRSFrt?t=10s""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">pscp.tv/w/b6N-rjFvTlFs</span><span class=""invisible"">TFJub1dwUXd8MUJSSmp2TU1lRWFKd6Iqca6eGHAS3ugxqlw9QeUwhVgwAbcS_yy6K7MRSFrt?t=10s</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
realDonaldTrump,Donald J. Trump,1126268756257382400,2019-05-08 23:32:51,/realDonaldTrump/status/1126268756257382400,50552,8105,12075,"Big crowds in Panama City Beach, Florida. See everyone in 30 minutes! @FoxNews @TuckerCarlson @SeanHannitypic.twitter.com/57tngL1W2i","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Big crowds in Panama City Beach, Florida. See everyone in 30 minutes! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1367531"" dir=""ltr"" href=""/FoxNews""><s>@</s><b>FoxNews</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""22703645"" dir=""ltr"" href=""/TuckerCarlson""><s>@</s><b>TuckerCarlson</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""41634520"" dir=""ltr"" href=""/seanhannity""><s>@</s><b>SeanHannity</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/57tngL1W2i"">pic.twitter.com/57tngL1W2i</a></p>"
realDonaldTrump,Donald J. Trump,1126264006988181505,2019-05-08 23:13:58,/realDonaldTrump/status/1126264006988181505,48949,6032,9616,"Just landed in Panama City Beach, Florida for a rally beginning at 8:00 P.M. Eastern. Will be live on @FoxNews! #MAGA @tuckercarlson @seanhannity","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Just landed in Panama City Beach, Florida for a rally beginning at 8:00 P.M. Eastern. Will be live on <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1367531"" dir=""ltr"" href=""/FoxNews""><s>@</s><b>FoxNews</b></a>! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MAGA?src=hash""><s>#</s><b>MAGA</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""22703645"" dir=""ltr"" href=""/TuckerCarlson""><s>@</s><b>tuckercarlson</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""41634520"" dir=""ltr"" href=""/seanhannity""><s>@</s><b>seanhannity</b></a></p>"
